"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"plotly","plotly","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.10.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"plyr","plyr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8.7",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"png","png","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"polyclip","polyclip","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.1.0"
"polynom","polynom","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"powerTCR","powerTCR","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.14.0",NA,NA,"cubature, doParallel, evmix, foreach, magrittr, methods,
parallel, purrr, stats, truncdist, vegan, VGAM",NA,"BiocStyle, knitr, rmarkdown, RUnit, BiocGenerics",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"prettyunits","prettyunits","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pROC","pROC","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"processx","processx","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"prodlim","prodlim","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"progress","progress","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"progressr","progressr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.9.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
"promises","promises","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"proxy","proxy","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"ps","ps","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"purrr","purrr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"quantreg","quantreg","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","5.86",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"qvalue","qvalue","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.26.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.1.1"
"R6","R6","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"RANN","RANN","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.6.1",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"rappdirs","rappdirs","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"RColorBrewer","RColorBrewer","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.3"
"Rcpp","Rcpp","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.8.3",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"RcppAnnoy","RcppAnnoy","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.0.19",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RcppArmadillo","RcppArmadillo","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.11.0.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"RcppEigen","RcppEigen","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.3.9.2",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"RcppHNSW","RcppHNSW","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.0",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"RcppProgress","RcppProgress","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"RcppTOML","RcppTOML","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.7",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"RCurl","RCurl","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.98-1.6",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"readr","readr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.1.2",NA,"R (>= 3.1)","cli (>= 3.0.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.5.6)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"readxl","readxl","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"recipes","recipes","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.17",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0), glue, gower, ipred (>= 0.9-12),
lifecycle, lubridate, magrittr, Matrix, purrr (>= 0.2.3), rlang
(>= 0.4.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.1.0), timeDate, utils, vctrs, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rematch","rematch","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"rematch2","rematch2","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"renv","renv","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.16.0",NA,NA,"utils",NA,"BiocManager, cli, covr, devtools, jsonlite, knitr, miniUI,
packrat, pak, R6, remotes, reticulate, rmarkdown, rstudioapi,
shiny, testthat, uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"reprex","reprex","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"reshape2","reshape2","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"reticulate","reticulate","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.24",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, withr","Rcpp","callr, knitr, rlang, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.1.3"
"rlang","rlang","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.2",NA,"R (>= 3.4.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"rmarkdown","rmarkdown","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.13",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.3.5),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"ROCR","ROCR","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"rpart","rpart","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.1-15","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"rprojroot","rprojroot","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.0.3",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"RSpectra","RSpectra","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.16-0",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"RSQLite","RSQLite","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","2.2.8",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms, rvest,
testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.1.1"
"rstatix","rstatix","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.7.0",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.0.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"rstudioapi","rstudioapi","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.13",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"rsvd","rsvd","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.5",NA,"R (>= 4.0.0)","Matrix",NA,"ggplot2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"Rtsne","Rtsne","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.15",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"Rttf2pt1","Rttf2pt1","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.3.9",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.1.0"
"rvest","rvest","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.2",NA,"R (>= 3.2)","httr (>= 0.5), lifecycle (>= 1.0.0), magrittr, rlang (>=
0.4.10), selectr, tibble, xml2 (>= 1.3)",NA,"covr, glue, knitr, readr, rmarkdown, repurrrsive, spelling,
stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"s2","s2","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.5.0)","Rcpp, wk","testthat, vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.1.1"
"S4Vectors","S4Vectors","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.30.2",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"sass","sass","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4.1",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"ScaledMatrix","ScaledMatrix","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.0",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"scales","scales","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.2.0",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0), waldo (>= 0.4.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"scattermore","scattermore","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.8",NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.3"
"scatterpie","scatterpie","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.1.7",NA,"R (>= 3.4.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, utils",NA,"knitr, rmarkdown, prettydoc, maps",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"scGate","scGate","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0.0",NA,"R(>= 3.6.1),Seurat(>= 3.2.1),data.table(>= 1.13.6),UCell(>=
1.1.0),dplyr",NA,NA,"future.apply,ggparty",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"schex","schex","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.8.0",NA,"SingleCellExperiment (>= 1.7.4), Seurat, ggplot2 (>= 3.2.1),
shiny","hexbin, stats, methods, cluster, dplyr, entropy, ggforce,
scales, grid, concaveman",NA,"ggrepel, knitr, rmarkdown, testthat (>= 2.1.0), covr,
TENxPBMCData, scater, shinydashboard, iSEE, igraph, scran",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"scRepertoire","scRepertoire","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.7.2",NA,"ggplot2, R (>= 4.0)","stringdist, dplyr, reshape2, ggalluvial, stringr, vegan,
powerTCR, SingleCellExperiment, SummarizedExperiment, plyr,
parallel, doParallel, methods, utils, rlang, igraph, ggraph,
tidygraph, SeuratObject",NA,"knitr, rmarkdown, BiocStyle, circlize, scales, Seurat, scater",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"sctransform","sctransform","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.3.3",NA,"R (>= 3.5.0)","dplyr, magrittr, MASS, Matrix, methods, future.apply, future,
ggplot2, reshape2, rlang, gridExtra, matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr","glmGamPoi","GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"selectr","selectr","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.1.0"
"Seurat","Seurat","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.1.0",NA,"R (>= 4.0.0), methods","cluster, cowplot, fitdistrplus, future, future.apply, ggplot2
(>= 3.3.0), ggrepel, ggridges, graphics, grDevices, grid, httr,
ica, igraph, irlba, jsonlite, KernSmooth, leiden (>= 0.3.1),
lmtest, MASS, Matrix (>= 1.2-14), matrixStats, miniUI,
patchwork, pbapply, plotly (>= 4.9.0), png, RANN, RColorBrewer,
Rcpp (>= 1.0.7), RcppAnnoy (>= 0.0.18), reticulate, rlang,
ROCR, Rtsne, scales, scattermore (>= 0.7), sctransform (>=
0.3.3), SeuratObject (>= 4.0.4), shiny, spatstat.core,
spatstat.geom, stats, tibble, tools, utils, uwot (>= 0.1.9)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, rsvd, testthat, hdf5r, S4Vectors, SummarizedExperiment,
SingleCellExperiment, MAST, DESeq2, BiocGenerics,
GenomicRanges, GenomeInfoDb, IRanges, rtracklayer, Rfast2,
monocle, Biobase, VGAM, limma, metap, enrichR, mixtools,
ggrastr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.3"
"SeuratData","SeuratData","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.2.2",NA,"R (>= 3.5.0)","cli, crayon, rappdirs, stats, utils",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"SeuratObject","SeuratObject","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","4.0.4",NA,"R (>= 4.0.0)","grDevices, grid, Matrix (>= 1.3.3), methods, Rcpp (>= 1.0.5),
rlang (>= 0.4.7), stats, tools, utils","Rcpp, RcppEigen","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"sf","sf","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","1.0-3",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.0.7), stats, tools, units
(>= 0.6-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pillar,
pool, raster, rgdal, rgeos, rlang, rmarkdown, RPostgres (>=
1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>=
2.0-1), spatstat.geom, spatstat.core, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.0-0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"shadowtext","shadowtext","C:/Users/nickd/School/PhD/Reordered_PreLeisH/renv/library/R-4.1/x86_64-w64-mingw32","0.0.9",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
